名称,大类,中类,经度,纬度,省份,地级市,lon,lat,name,区县,type,operator,ports,place_type
电动汽车充电桩,汽车相关,充电站,108.580482,33.784314,陕西省,西安市,108.580482,33.784314,电动汽车充电桩,西安市,汽车相关 充电站,其他,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.521506,34.04258,陕西省,西安市,108.521506,34.04258,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车充电站,汽车相关,充电站,108.54384,34.043323,陕西省,西安市,108.54384,34.043323,星星充电汽车充电站,西安市,汽车相关 充电站,星星充电,6,其他
汽车充电桩,汽车相关,充电站,108.882386,34.042519,陕西省,西安市,108.882386,34.042519,汽车充电桩,西安市,汽车相关 充电站,其他,8,其他
特来电公共充电站,汽车相关,充电站,108.832769,34.026066,陕西省,西安市,108.832769,34.026066,特来电公共充电站,西安市,汽车相关 充电站,特来电,4,其他
蓝田服务站国家电网电动汽车充电站,汽车相关,充电站,109.467705,33.958062,陕西省,西安市,109.467705,33.958062,蓝田服务站国家电网电动汽车充电站,西安市,汽车相关 充电站,国家电网,6,其他
云快充汽车公共充电站,汽车相关,充电站,108.063637,34.123912,陕西省,西安市,108.063637,34.123912,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,6,其他
云快充汽车公共充电站,汽车相关,充电站,108.0629,34.12374,陕西省,西安市,108.0629,34.12374,云快充汽车公共充电站,西安市,汽车相关 充电站,云快充,8,其他
陕西东阳云达物流有限责任公司-充电站,生活服务,其他,108.135859,34.171061,陕西省,西安市,108.135859,34.171061,陕西东阳云达物流有限责任公司-充电站,西安市,生活服务 其他,其他,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.59784,34.021139000000005,陕西省,西安市,108.59784,34.021139000000005,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,4,其他
星星充电汽车公共充电站,汽车相关,充电站,108.597385,34.042772,陕西省,西安市,108.597385,34.042772,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.631708,34.011339,陕西省,西安市,108.631708,34.011339,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,4,其他
云杉智慧汽车公共充电站-西安高速大队西汉中队公共充电站,汽车相关,充电站,108.550919,34.036653,陕西省,西安市,108.550919,34.036653,云杉智慧汽车公共充电站-西安高速大队西汉中队公共充电站,西安市,汽车相关 充电站,其他,4,其他
星星充电汽车公共充电站,汽车相关,充电站,108.593116,34.03754,陕西省,西安市,108.593116,34.03754,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.572747,34.035321,陕西省,西安市,108.572747,34.035321,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.591513,34.039165,陕西省,西安市,108.591513,34.039165,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,4,其他
星星充电汽车公共充电站,汽车相关,充电站,108.587004,34.021656,陕西省,西安市,108.587004,34.021656,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.592727,34.037603000000004,陕西省,西安市,108.592727,34.037603000000004,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.583473,34.021519999999995,陕西省,西安市,108.583473,34.021519999999995,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.57718,34.078037,陕西省,西安市,108.57718,34.078037,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车充电站,汽车相关,充电站,108.588747,34.100006,陕西省,西安市,108.588747,34.100006,星星充电汽车充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.574088,34.058061,陕西省,西安市,108.574088,34.058061,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.584393,34.078160000000004,陕西省,西安市,108.584393,34.078160000000004,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.569374,34.096555,陕西省,西安市,108.569374,34.096555,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.593481,34.052035000000004,陕西省,西安市,108.593481,34.052035000000004,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.554695,34.097487,陕西省,西安市,108.554695,34.097487,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
星星充电汽车公共充电站,汽车相关,充电站,108.560633,34.096789,陕西省,西安市,108.560633,34.096789,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.587301,34.080740000000006,陕西省,西安市,108.587301,34.080740000000006,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
星星充电汽车公共充电站,汽车相关,充电站,108.576256,34.078632000000006,陕西省,西安市,108.576256,34.078632000000006,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,7,其他
星星充电汽车公共充电站,汽车相关,充电站,108.588048,34.084568,陕西省,西安市,108.588048,34.084568,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,6,其他
星星充电汽车公共充电站,汽车相关,充电站,108.58806,34.084612,陕西省,西安市,108.58806,34.084612,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,108.566273,34.093775,陕西省,西安市,108.566273,34.093775,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
星星充电汽车公共充电站,汽车相关,充电站,108.573346,34.053270000000005,陕西省,西安市,108.573346,34.053270000000005,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,2,其他
永恒物流公共充电站,汽车相关,其他,109.07907,34.425206,陕西省,西安市,109.07907,34.425206,永恒物流公共充电站,西安市,汽车相关 其他,其他,4,其他
星星充电汽车公共充电站,汽车相关,充电站,109.089665,34.413384,陕西省,西安市,109.089665,34.413384,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,4,其他
特来电公共充电站,汽车相关,充电站,109.089413,34.413553,陕西省,西安市,109.089413,34.413553,特来电公共充电站,西安市,汽车相关 充电站,特来电,8,其他
星星充电汽车公共充电站,汽车相关,充电站,108.54536,34.169955,陕西省,西安市,108.54536,34.169955,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,3,其他
影视城新能源汽车充电站,汽车相关,充电站,109.276903,34.072514000000005,陕西省,西安市,109.276903,34.072514000000005,影视城新能源汽车充电站,西安市,汽车相关 充电站,其他,5,其他
星星充电汽车公共充电站,汽车相关,充电站,109.225138,34.017888,陕西省,西安市,109.225138,34.017888,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,5,其他
星星充电汽车公共充电站,汽车相关,充电站,109.225149,34.017829,陕西省,西安市,109.225149,34.017829,星星充电汽车公共充电站,西安市,汽车相关 充电站,星星充电,8,其他
汤峪镇洪家寨星星公共充电站,汽车相关,其他,109.203328,34.061527000000005,陕西省,西安市,109.203328,34.061527000000005,汤峪镇洪家寨星星公共充电站,西安市,汽车相关 其他,其他,7,其他
益友汽车公共充电站,汽车相关,充电站,109.255323,34.198808,陕西省,西安市,109.255323,34.198808,益友汽车公共充电站,西安市,汽车相关 充电站,其他,7,其他
振涛新能源汽车充电,汽车相关,充电站,109.247157,34.200933,陕西省,西安市,109.247157,34.200933,振涛新能源汽车充电,西安市,汽车相关 充电站,其他,8,其他
国家电网汽车公共充电站,汽车相关,充电站,109.233274,34.260507,陕西省,西安市,109.233274,34.260507,国家电网汽车公共充电站,西安市,汽车相关 充电站,国家电网,7,其他
临潼及时雨公共充电站,汽车相关,充电站,109.316794,34.385975,陕西省,西安市,109.316794,34.385975,临潼及时雨公共充电站,西安市,汽车相关 充电站,其他,4,其他
特来电公共充电站,汽车相关,充电站,109.319123,34.412304,陕西省,西安市,109.319123,34.412304,特来电公共充电站,西安市,汽车相关 充电站,特来电,5,其他
临潼燃气高庙CNGLNG加气站充电站,汽车相关,其他能源站,109.205383,34.535459,陕西省,西安市,109.205383,34.535459,临潼燃气高庙CNGLNG加气站充电站,西安市,汽车相关 其他能源站,其他,8,其他
特来电公共充电站,汽车相关,充电站,109.205691,34.530989,陕西省,西安市,109.205691,34.530989,特来电公共充电站,西安市,汽车相关 充电站,特来电,5,其他
